wave_year,n_total,parent_non_missing_n,parent_missing_n,parent_missing_share,weighted_parent_missing_share
2010,1125,915,210,0.18666666666666668,0.17321650125593455
2016,1239,1185,54,0.043583535108958835,0.04313501303411095
2022,791,776,15,0.018963337547408345,0.008056209822958741
