sample_support,sample_support_label,wave_year,estimate,std.error,ci_low,ci_high,effective_n,n,status,region_count,valid_rank_sample_n
common_region_only,Common-region support only,2010,0.13426206567717336,0.02965255548290135,0.07606680779389256,0.19245732356045414,845.2453092727199,913,ok,10,913
full_sample,Full sample,2010,0.13426206567717336,0.02965255548290135,0.07606680779389256,0.19245732356045414,845.2453092727199,913,ok,10,913
common_region_only,Common-region support only,2016,0.306630688646319,0.0268646728732513,0.25392297137723047,0.3593384059154075,872.4434202520358,1185,ok,10,1185
full_sample,Full sample,2016,0.306630688646319,0.0268646728732513,0.25392297137723047,0.3593384059154075,872.4434202520358,1185,ok,10,1185
common_region_only,Common-region support only,2022,0.2806348276554986,0.03706933429414759,0.2077877622389127,0.35348189307208444,238.27487485667828,460,ok,10,460
full_sample,Full sample,2022,0.25246377806001996,0.029241650402670294,0.19506143429750095,0.309866121822539,399.05448625299556,776,ok,14,776
