model_sample,subgroup_type,wave_year,subgroup_value,included,n,weight_sum,share_within_status,weighted_share_within_status
rank_model_included,region,2010,Sirdarya region,FALSE,1,10240.12109375,0.0047169811320754715,0.004404619226612355
rank_model_included,region,2010,Sirdarya region,TRUE,45,585723.857421875,0.04928806133625411,0.05278294935169411
rank_model_included,region,2010,Tashkent city,FALSE,21,243090.662109375,0.09905660377358491,0.10456143968750424
rank_model_included,region,2010,Tashkent city,TRUE,133,1523858.3950195313,0.1456736035049288,0.1373236542515228
rank_model_included,region,2010,Tashkent region,FALSE,55,642586.5595703125,0.25943396226415094,0.2763980122045208
rank_model_included,region,2010,Tashkent region,TRUE,103,1207823.2700195313,0.11281489594742607,0.10884390942832972
rank_model_included,region,2016,Bukhara region,FALSE,5,56622.83,0.09259259259259259,0.08385811270769748
rank_model_included,region,2016,Bukhara region,TRUE,111,1395351.89,0.09367088607594937,0.09315722167637475
rank_model_included,region,2016,Jizzakh region,FALSE,3,15568.03,0.05555555555555555,0.02305617035349197
rank_model_included,region,2016,Jizzakh region,TRUE,82,1087953.97,0.06919831223628692,0.07263455898352777
rank_model_included,region,2016,Karakalpakstan republic,TRUE,115,1384552.55,0.0970464135021097,0.09243623042137417
rank_model_included,region,2016,Khorezm region,FALSE,7,84128.43,0.12962962962962962,0.12459376129489885
rank_model_included,region,2016,Khorezm region,TRUE,93,1323029.24,0.07848101265822785,0.08832877862444119
rank_model_included,region,2016,Namangan region,FALSE,6,79147.78,0.1111111111111111,0.11721744490347877
rank_model_included,region,2016,Namangan region,TRUE,156,1953074.6300000001,0.13164556962025317,0.13039220254140596
rank_model_included,region,2016,Navoi region,FALSE,5,59158.920000000006,0.09259259259259259,0.087614048627129
rank_model_included,region,2016,Navoi region,TRUE,39,589693.2999999999,0.03291139240506329,0.039369416319185946
rank_model_included,region,2016,Samarkand region,FALSE,10,141320.18,0.18518518518518517,0.20929444152318233
rank_model_included,region,2016,Samarkand region,TRUE,215,2839950.9,0.18143459915611815,0.18960230565303493
rank_model_included,region,2016,Sirdarya region,FALSE,2,38984.08,0.037037037037037035,0.05773521695128794
rank_model_included,region,2016,Sirdarya region,TRUE,45,521571.93,0.0379746835443038,0.03482146134706179
rank_model_included,region,2016,Tashkent city,FALSE,2,36462.36,0.037037037037037035,0.05400056292609607
rank_model_included,region,2016,Tashkent city,TRUE,163,1807786.47,0.13755274261603376,0.12069239747784409
rank_model_included,region,2016,Tashkent region,FALSE,14,163829.24,0.25925925925925924,0.2426302407127376
rank_model_included,region,2016,Tashkent region,TRUE,166,2075496.96,0.140084388185654,0.13856542695574942
rank_model_included,region,2022,Andijan region,TRUE,74,1076619.5392594012,0.09536082474226804,0.061316406962711824
