sample_family,sample_label,weight_variable,wave_year,n_non_missing,mean,min,p1,p5,p25,p50,p75,p95,p99,max
adult_lits,LiTS analytical sample,sample_weight,2010,1123,11951.645521291324,4571.1123046875,4571.1123046875,5185.65771484375,10240.12109375,12208.046875,15867.6982421875,16047.2294921875,16047.2294921875,16047.2294921875
adult_lits,LiTS analytical sample,sample_weight,2016,1239,12634.127271993544,2042.09,3564.3214000000003,4766.83,7150.24,10615.82,15000.86,28777.72,36302.43479999998,50231.01
adult_lits,LiTS analytical sample,sample_weight,2022,791,22378.038307708157,3388.083717230537,3388.083717230537,3388.083717230542,6181.770346648138,12976.42388536299,31498.756733608738,79079.22046919617,81131.23696286367,81131.23696286367
module_b,Module B estimation sample,sample_weight,2010,913,12154.258889071913,4571.1123046875,4571.1123046875,5185.65771484375,10240.12109375,12208.046875,15867.6982421875,16047.2294921875,16047.2294921875,16047.2294921875
module_b,Module B estimation sample,sample_weight,2016,1185,12640.052185654009,2042.09,3700.3392,4766.83,7132.4,10565.86,15000.86,28777.72,36513.85080000007,50231.01
module_b,Module B estimation sample,sample_weight,2022,776,22626.836473349184,3388.083717230537,3388.083717230537,3388.083717230542,6292.55920072433,13098.10760044826,32061.25158506705,79155.83416396478,81131.23696286367,81131.23696286367
module_c,Module C mechanism sample,weight_final,2022,186,22840.22389390834,3388.083717230537,3388.083717230537,3963.8829754162043,7640.844453057203,16386.893924240547,34694.445004243986,63555.86718424756,81131.23696286367,81131.23696286367
