harmonization_variant,variant_label,wave_year,estimate,std.error,ci_low,ci_high,effective_n,n,status,rank_sample_n,unique_parent_year_values
locked_category_max,Locked max-parent category (baseline),2010,0.13426206567717336,0.02965255548290135,0.07606680779389256,0.19245732356045414,845.2453092727199,913,ok,913,6
locked_category_max,Locked max-parent category (baseline),2016,0.306630688646319,0.0268646728732513,0.25392297137723047,0.3593384059154075,872.4434202520358,1185,ok,1185,5
locked_category_max,Locked max-parent category (baseline),2022,0.25246377806001996,0.029241650402670294,0.19506143429750095,0.309866121822539,399.05448625299556,776,ok,776,5
observed_max_parent_years,Observed max parent years where available,2010,0.13112694462706076,0.028748396136837873,0.07470616403434886,0.18754772521977264,845.2453092727199,913,ok,913,20
observed_max_parent_years,Observed max parent years where available,2016,0.306630688646319,0.0268646728732513,0.25392297137723047,0.3593384059154075,872.4434202520358,1185,ok,1185,5
observed_max_parent_years,Observed max parent years where available,2022,0.25246377806001996,0.029241650402670294,0.19506143429750095,0.309866121822539,399.05448625299556,776,ok,776,5
