model,term,estimate,std.error,statistic,p.value
m1_switched_online,parent_low_edu,-1.0920773460776374,1.247142744295646,-0.875663472423451,0.3812130085207978
m1_switched_online,urban,-0.24924280273175192,0.8962996933983756,-0.27807975899972975,0.7809511331687138
m1_switched_online,parent_low_edu:urban,-1.6350476848549151,0.9381699476213838,-1.7428054362649117,0.08136760642065578
m2_school_closed_no_online,parent_low_edu,0.49713806282995643,0.9032500860598307,0.5503880602974295,0.5820532361968935
m2_school_closed_no_online,urban,-0.5255656944848881,0.8191486194392885,-0.6415999270616369,0.5211329803548308
m2_school_closed_no_online,parent_low_edu:urban,0.39698013066371574,1.2688817557304102,0.3128582540263579,0.7543883549644234
m3_education_stopped_covid,parent_low_edu,0.11918358133873036,0.4228166066578671,0.281880085744056,0.778035459892495
m3_education_stopped_covid,urban,-0.38337426356972515,1.2932092232815378,-0.29645184759578747,0.7668850350702436
m3_education_stopped_covid,parent_low_edu:urban,0.5862872088958055,0.8567799223618341,0.6842914890904803,0.49379112020068533
m4_any_remote_challenge,parent_low_edu,0.8391645472049782,0.6619330247921031,1.2677484213278816,0.2048878068790686
m4_any_remote_challenge,urban,0.5160574934354191,0.5129256784328197,1.006105787123328,0.31436468516154886
m4_any_remote_challenge,parent_low_edu:urban,-1.705411947469935,0.8798178886462089,-1.938369257408578,0.0525781883144713
