scenario_id,parent_proxy,split_rule,split_threshold,use_weights,model,outcome,n_used,status,support_reason,term,estimate,std.error,statistic,p.value
weighted_leq11,mean_parent_years,leq_11,11,TRUE,m3_education_stopped_covid,education_stopped_covid,183,estimated,NA,urban,0.19963096523573803,1.4784118855281192,0.1350306820378583,0.8925876157244493
weighted_leq11,mean_parent_years,leq_11,11,TRUE,m3_education_stopped_covid,education_stopped_covid,183,estimated,NA,parent_low_edu:urban,-0.4808426242878372,0.883996881858544,-0.5439415388851802,0.5864817030646248
weighted_leq11,mean_parent_years,leq_11,11,TRUE,m4_any_remote_challenge,any_remote_challenge,173,estimated,NA,parent_low_edu,0.4757462087442206,0.4099823566300812,1.1604065420148721,0.24588332448521388
weighted_leq11,mean_parent_years,leq_11,11,TRUE,m4_any_remote_challenge,any_remote_challenge,173,estimated,NA,urban,0.45362784154009117,0.710824040303503,0.6381717778515259,0.5233618664075792
weighted_leq11,mean_parent_years,leq_11,11,TRUE,m4_any_remote_challenge,any_remote_challenge,173,estimated,NA,parent_low_edu:urban,-1.8128035844541546,0.7205924438866727,-2.515712730314521,0.011879196361119358
weighted_leq9,mean_parent_years,leq_9,9,TRUE,m1_switched_online,switched_online,183,degenerate_support,group_n_below_15;event_support_below_2,NA,NA,NA,NA,NA
weighted_leq9,mean_parent_years,leq_9,9,TRUE,m2_school_closed_no_online,school_closed_no_online,183,degenerate_support,group_n_below_15,NA,NA,NA,NA,NA
weighted_leq9,mean_parent_years,leq_9,9,TRUE,m3_education_stopped_covid,education_stopped_covid,183,degenerate_support,group_n_below_15,NA,NA,NA,NA,NA
weighted_leq9,mean_parent_years,leq_9,9,TRUE,m4_any_remote_challenge,any_remote_challenge,173,degenerate_support,group_n_below_15,NA,NA,NA,NA,NA
weighted_median_maxparent,max_parent_level,median,16,TRUE,m1_switched_online,switched_online,183,degenerate_support,group_n_below_15;event_support_below_2,NA,NA,NA,NA,NA
weighted_median_maxparent,max_parent_level,median,16,TRUE,m2_school_closed_no_online,school_closed_no_online,183,degenerate_support,group_n_below_15;event_support_below_2,NA,NA,NA,NA,NA
weighted_median_maxparent,max_parent_level,median,16,TRUE,m3_education_stopped_covid,education_stopped_covid,183,degenerate_support,group_n_below_15;event_support_below_2,NA,NA,NA,NA,NA
weighted_median_maxparent,max_parent_level,median,16,TRUE,m4_any_remote_challenge,any_remote_challenge,173,degenerate_support,group_n_below_15;event_support_below_2,NA,NA,NA,NA,NA
