wave_year,parent_ed_level,own_ed_level,n,n_parent_total,effective_n,share,std.error,ci_low,ci_high,status
2010,lower_secondary,lower_secondary,56,231,211.26328779897526,0.25647651631254237,0.030044095300866172,0.19759117157475561,0.31536186105032915,ok
2010,lower_secondary,no_formal,1,231,211.26328779897526,0.004568223147556524,0.00463945950253268,0,0.01366139668025269,ok
2010,lower_secondary,post_secondary_non_tertiary,0,231,211.26328779897526,0,0,0,0,ok
2010,lower_secondary,primary,1,231,211.26328779897526,0.00610335845867928,0.0053584975086791095,0,0.016605820586937936,ok
2010,lower_secondary,tertiary,33,231,211.26328779897526,0.12618654265616427,0.022845668358475735,0.08140985547080555,0.170963229841523,ok
2010,lower_secondary,upper_secondary,140,231,211.26328779897526,0.6066653594250576,0.03360807824071522,0.5407947364836515,0.6725359823664637,ok
2010,no_formal,lower_secondary,6,27,23.571752110238975,NA,NA,NA,NA,small_n
2010,no_formal,no_formal,0,27,23.571752110238975,NA,NA,NA,NA,small_n
2010,no_formal,post_secondary_non_tertiary,0,27,23.571752110238975,NA,NA,NA,NA,small_n
2010,no_formal,primary,0,27,23.571752110238975,NA,NA,NA,NA,small_n
2010,no_formal,tertiary,5,27,23.571752110238975,NA,NA,NA,NA,small_n
2010,no_formal,upper_secondary,16,27,23.571752110238975,NA,NA,NA,NA,small_n
2010,post_secondary_non_tertiary,lower_secondary,6,69,66.33039934042431,0.096660115765014,0.036282143969082546,0.025548420303715097,0.1677718112263129,ok
2010,post_secondary_non_tertiary,no_formal,0,69,66.33039934042431,0,0,0,0,ok
2010,post_secondary_non_tertiary,post_secondary_non_tertiary,0,69,66.33039934042431,0,0,0,0,ok
2010,post_secondary_non_tertiary,primary,0,69,66.33039934042431,0,0,0,0,ok
2010,post_secondary_non_tertiary,tertiary,15,69,66.33039934042431,0.19249800124565208,0.04840927842850843,0.09761755900820383,0.2873784434831003,ok
2010,post_secondary_non_tertiary,upper_secondary,48,69,66.33039934042431,0.7108418829893339,0.05566700965602403,0.6017365489364834,0.8199472170421844,ok
2010,primary,lower_secondary,9,47,42.28572053060778,0.20518145837312057,0.06210208531119235,0.08346360779834967,0.3268993089478915,ok
2010,primary,no_formal,0,47,42.28572053060778,0,0,0,0,ok
2010,primary,post_secondary_non_tertiary,0,47,42.28572053060778,0,0,0,0,ok
2010,primary,primary,1,47,42.28572053060778,0.027609469515070637,0.025197213971033586,0,0.07699510140904593,ok
2010,primary,tertiary,6,47,42.28572053060778,0.118870632487734,0.04976915386613363,0.021324883369079714,0.21641638160638826,ok
2010,primary,upper_secondary,31,47,42.28572053060778,0.6483384396240748,0.07342880619870905,0.5044206240468336,0.7922562552013159,ok
2010,tertiary,lower_secondary,17,127,117.4191846324278,0.14647423428035863,0.03263017522453635,0.08252026603103622,0.21042820252968103,ok
2010,tertiary,no_formal,0,127,117.4191846324278,0,0,0,0,ok
2010,tertiary,post_secondary_non_tertiary,0,127,117.4191846324278,0,0,0,0,ok
2010,tertiary,primary,0,127,117.4191846324278,0,0,0,0,ok
2010,tertiary,tertiary,42,127,117.4191846324278,0.30260774115797134,0.04239445415160173,0.2195161378765974,0.3856993444393453,ok
2010,tertiary,upper_secondary,68,127,117.4191846324278,0.55091802456167,0.04590254582351619,0.46095068794887883,0.6408853611744613,ok
