module_c_row_id,wave_year,region,urban,weight_valid,child_module_eligibility_observed,child_enrolled_pre_covid,mechanism_sample_eligible,parent_schooling_observed,mechanism_parent_non_missing,parent_years_schooling,parent_low_edu,m1_switched_online_included,m2_school_closed_no_online_included,m3_education_stopped_covid_included,m4_any_remote_challenge_included
45,2022,Bukhara region,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,16,0,FALSE,FALSE,FALSE,FALSE
46,2022,Bukhara region,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13.5,1,TRUE,TRUE,TRUE,TRUE
47,2022,Bukhara region,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,16,0,FALSE,FALSE,FALSE,FALSE
48,2022,Bukhara region,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,13.5,1,FALSE,FALSE,FALSE,FALSE
49,2022,Bukhara region,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,16,0,FALSE,FALSE,FALSE,FALSE
50,2022,Bukhara region,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13.5,1,TRUE,TRUE,TRUE,TRUE
51,2022,Bukhara region,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,1,TRUE,TRUE,TRUE,TRUE
52,2022,Bukhara region,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,1,TRUE,TRUE,TRUE,TRUE
53,2022,Bukhara region,1,TRUE,FALSE,NA,FALSE,TRUE,FALSE,11,1,FALSE,FALSE,FALSE,FALSE
54,2022,Bukhara region,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,16,0,FALSE,FALSE,FALSE,FALSE
55,2022,Bukhara region,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,16,0,FALSE,FALSE,FALSE,FALSE
56,2022,Bukhara region,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13.5,1,TRUE,TRUE,TRUE,TRUE
57,2022,Bukhara region,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16,0,TRUE,TRUE,TRUE,TRUE
58,2022,Bukhara region,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,11,1,FALSE,FALSE,FALSE,FALSE
