metric,group,full_sample,linked_sample
Mean age,overall,43.10314523901638,33.7044709349313
Female share,overall,0.5114759409726447,0.15514073669619635
Urban share,overall,0.5066600437660089,0.519906317349565
Province share,Andijan,0.09324619552783718,0.09399215364906266
Province share,Bukhara,0.05748566156437058,0.05536689559574187
Province share,Fergana,0.11696970985480858,0.11036661455337564
Province share,Jizzakh,0.039917603230225814,0.040855256156439486
Province share,Karakalpakstan,0.05381783016790223,0.054305852731757746
Province share,Kashkadarya,0.09607429294688744,0.09378143551370775
Province share,Khorezm,0.05504970838648193,0.058384174494552514
Province share,Namangan,0.08447662788670204,0.08359447985183965
Province share,Navoi,0.03120349050603041,0.01973309990030796
Province share,Samarkand,0.10960310202352944,0.11538694781966755
Province share,Surkhandarya,0.07535782809611728,0.07663011448655063
Province share,Syrdarya,0.024689201052094416,0.02716899988802527
Province share,Tashkent City,0.07673799861972072,0.07902926353517091
Province share,Tashkent Region,0.08537075013729188,0.09140471182380036
