model,model_family,specification,specification_label,n_used,wave_year,slope_type,estimate,std.error,ci_low,ci_high,statistic,p.value
eq2_persistence_trend_minimal,eq2_persistence_trend,minimal,Minimal parental association + fixed effects,2874,2010,conditional_association,0.14024046843365856,0.037620563832159296,0.0665055182445362,0.2139754186227809,3.7277609410461943,1.931884955883604e-4
eq2_persistence_trend_minimal,eq2_persistence_trend,minimal,Minimal parental association + fixed effects,2874,2016,conditional_association,0.3092528067348305,0.025367037729884148,0.2595343263897889,0.35897128707987214,12.191128109945177,3.465899571106227e-34
eq2_persistence_trend_minimal,eq2_persistence_trend,minimal,Minimal parental association + fixed effects,2874,2022,conditional_association,0.2506401420744858,0.05110900303691028,0.15046833683639343,0.3508119473125782,4.904031133095605,9.3889598516949e-7
eq2_persistence_trend_demographic,eq2_persistence_trend,demographic,Add standard demographics,2741,2010,conditional_association,0.15488356791905727,0.04067466759494433,0.075162684349828,0.23460445148828657,3.807863151125262,1.401728035541632e-4
eq2_persistence_trend_demographic,eq2_persistence_trend,demographic,Add standard demographics,2741,2016,conditional_association,0.30935856963502184,0.025125501002948795,0.2601134925757172,0.3586036466943265,12.312533373910224,7.755010642214158e-35
eq2_persistence_trend_demographic,eq2_persistence_trend,demographic,Add standard demographics,2741,2022,conditional_association,0.2480430940976807,0.05208772764669243,0.1459530238736323,0.3501331643217291,4.76202563068484,1.91659332418813e-6
eq2_persistence_trend_extended,eq2_persistence_trend,extended,Add potentially endogenous household controls,2741,2010,conditional_association,0.15474203467966982,0.04068927649143853,0.07499251819945803,0.23449155115988163,3.8030176012647763,1.4294419526306892e-4
eq2_persistence_trend_extended,eq2_persistence_trend,extended,Add potentially endogenous household controls,2741,2016,conditional_association,0.3090656096432809,0.024878367011172128,0.26030490630721415,0.35782631297934764,12.423066574445533,1.9590558191295664e-35
eq2_persistence_trend_extended,eq2_persistence_trend,extended,Add potentially endogenous household controls,2741,2022,conditional_association,0.24848830678550687,0.05171785842179945,0.14712316692123845,0.3498534466497753,4.80469057243034,1.549910136436206e-6
