subgroup_type,subgroup_value,comparison,base_wave,comparison_wave,estimate,std.error,ci_low,ci_high,statistic,p.value,base_n,comp_n
cohort,25-34,2010_to_2016,2010,2016,0.14460624623213722,0.0753683037429509,-0.003112914679921863,0.2923254071441963,1.9186612813435122,0.055027214596847784,316,314
cohort,25-34,2016_to_2022,2016,2022,-0.1324013059655515,0.07562049569629266,-0.28061475402335123,0.015812142092248238,-1.7508653539815735,0.07996910590992808,314,250
cohort,35-44,2010_to_2016,2010,2016,0.26364509176195655,0.07202545148675597,0.12247780087767798,0.4048123826462351,3.660443444918017,2.5177912450018055e-4,293,321
cohort,35-44,2016_to_2022,2016,2022,-0.17016187701465835,0.07499015370734566,-0.3171398774761786,-0.023183876553138083,-2.2691229261741084,0.023260851552852495,321,228
cohort,45-54,2010_to_2016,2010,2016,0.12226277673861946,0.08190356698541056,-0.03826526475814901,0.28279081823538793,1.492764982511666,0.13549871657218585,202,284
cohort,45-54,2016_to_2022,2016,2022,-0.06741359202435271,0.08016939282726761,-0.22454271462824094,0.08971553057953552,-0.8408893924094142,0.40040990150153444,284,185
cohort,55-64,2010_to_2016,2010,2016,-0.046114783159335065,0.10551626356063747,-0.2529228595214206,0.16069329320275041,-0.4370395766794196,0.6620826463619066,102,266
cohort,55-64,2016_to_2022,2016,2022,0.05827149151301317,0.10327609725348212,-0.14414593956766775,0.2606889225936941,0.5642301855190258,0.572597487265048,266,113
gender,female,2010_to_2016,2010,2016,0.2565217435063731,0.05272334922132368,0.15318587788825078,0.3598576091244954,4.865429592295784,1.1420846368656725e-6,544,643
gender,female,2016_to_2022,2016,2022,-0.1399751286775968,0.051164201549048195,-0.24025512101147967,-0.03969513634371391,-2.735802073318991,0.006222844256117578,643,516
gender,male,2010_to_2016,2010,2016,0.06354843837860069,0.06136949174799799,-0.05673355519700339,0.1838304319542048,1.0355053719452352,0.3004329589906823,369,542
gender,male,2016_to_2022,2016,2022,0.0592416213275643,0.0638839302287667,-0.06596858111168807,0.18445182376681668,0.9273321336902972,0.3537541152487885,542,260
urban_rural,rural,2010_to_2016,2010,2016,0.16250705782544808,0.052847854347490966,0.058927166644147294,0.2660869490067489,3.074998215763198,0.0021050381298003324,526,683
urban_rural,rural,2016_to_2022,2016,2022,-0.11825883567184697,0.0515663717077856,-0.21932706703251192,-0.017190604311182023,-2.2933324908332073,0.021828870027030264,683,491
urban_rural,urban,2010_to_2016,2010,2016,0.13031534029277966,0.06873908726078318,-0.004410795068511358,0.26504147565407066,1.8957967800530686,0.057986921829028745,254,502
urban_rural,urban,2016_to_2022,2016,2022,0.0584048336034913,0.062244355581306095,-0.06359186157677332,0.18040152878375593,0.938315338925801,0.3480823792556606,502,285
