wave_year,n_total,father_only_n,mother_only_n,both_observed_n,neither_observed_n,any_parent_n,father_only_share,mother_only_share,both_observed_share,neither_observed_share,any_parent_share
2010,1125,29,37,849,210,915,0.025777777777777778,0.03288888888888889,0.7546666666666667,0.18666666666666668,0.8133333333333334
2016,1239,17,45,1123,54,1185,0.013720742534301856,0.03631961259079903,0.9063761097659403,0.043583535108958835,0.9564164648910412
2022,791,1,4,771,15,776,0.0012642225031605564,0.0050568900126422255,0.9747155499367889,0.018963337547408345,0.9810366624525917
