subgroup_type,subgroup_value,wave_year,metric,estimate,std.error,ci_low,ci_high,effective_n,n,status
cohort,25-34,2010,downward_mobility_rate,0.3419931707637405,0.026686222355614308,0.2896891360633088,0.39429720546417213,315.9902147814107,316,ok
cohort,25-34,2016,downward_mobility_rate,0.24028612239163422,0.027707195062043565,0.18598101795740282,0.29459122682586564,237.79002050673884,314,ok
cohort,25-34,2022,downward_mobility_rate,0.08346635007258602,0.024065931585849878,0.03629799090991536,0.13063470923525666,132.0852983226833,250,ok
cohort,25-34,2010,persistence_probability,0.48078261818467827,0.02810684984026211,0.4256942047788892,0.5358710315904673,315.9902147814107,316,ok
cohort,25-34,2016,persistence_probability,0.5790481411634586,0.03201671274675347,0.5162965372764573,0.6417997450504599,237.79002050673884,314,ok
cohort,25-34,2022,persistence_probability,0.7565436029211813,0.03734223745720682,0.6833541624029134,0.8297330434394492,132.0852983226833,250,ok
cohort,25-34,2010,rank_rank_slope,0.18367407151653406,0.05128251025914848,0.08277328650410214,0.28457485652896597,315.9902147814107,316,ok
cohort,25-34,2016,rank_rank_slope,0.3282803177486713,0.05523119906909535,0.21960760391379264,0.4369530315835499,237.79002050673884,314,ok
cohort,25-34,2022,rank_rank_slope,0.19587901178311978,0.05165243478039519,0.0941456337891437,0.29761238977709586,132.0852983226833,250,ok
cohort,25-34,2010,upward_mobility_rate,0.17722421105158123,0.021481542380555572,0.1351211616533215,0.21932726044984097,315.9902147814107,316,ok
cohort,25-34,2016,upward_mobility_rate,0.18066573644490722,0.024950062859916092,0.13176451182746127,0.22956696106235316,237.79002050673884,314,ok
cohort,25-34,2022,upward_mobility_rate,0.15999004700623262,0.031897853437835945,0.09747140308393704,0.2225086909285282,132.0852983226833,250,ok
cohort,35-44,2010,downward_mobility_rate,0.2322268219461155,0.02467054434689239,0.1838734435472082,0.2805802003450228,292.94618770320653,293,ok
cohort,35-44,2016,downward_mobility_rate,0.22295822663084355,0.02649779156922996,0.17102350948530376,0.27489294377638335,246.74508413694952,321,ok
cohort,35-44,2022,downward_mobility_rate,0.09052747832998194,0.026378613171971044,0.03882634655080483,0.14222861010915905,118.32215932136987,228,ok
cohort,35-44,2010,persistence_probability,0.44028743264365383,0.02900392333631281,0.3834407874941199,0.49713407779318775,292.94618770320653,293,ok
cohort,35-44,2016,persistence_probability,0.5677977462435049,0.03153668870541944,0.5059869721892317,0.629608520297778,246.74508413694952,321,ok
cohort,35-44,2022,persistence_probability,0.6812272853512701,0.0428404026798354,0.5972616390155995,0.7651929316869407,118.32215932136987,228,ok
cohort,35-44,2010,rank_rank_slope,0.12162473669394937,0.05107148768966181,0.021108410962769344,0.22214106242512938,292.94618770320653,293,ok
cohort,35-44,2016,rank_rank_slope,0.3852698284559059,0.05078748671706212,0.28534908538933074,0.4851905715224811,246.74508413694952,321,ok
cohort,35-44,2022,rank_rank_slope,0.21510795144124756,0.05517385563847761,0.10638697273417162,0.3238289301483235,118.32215932136987,228,ok
cohort,35-44,2010,upward_mobility_rate,0.3274857454102306,0.027419089062799773,0.273745318358247,0.38122617246221424,292.94618770320653,293,ok
cohort,35-44,2016,upward_mobility_rate,0.20924402712565165,0.025895453489169568,0.15848987092354724,0.2599981833277561,246.74508413694952,321,ok
cohort,35-44,2022,upward_mobility_rate,0.22824523631874805,0.03858402027829931,0.1526219461945183,0.3038685264429778,118.32215932136987,228,ok
cohort,45-54,2010,downward_mobility_rate,0.13978855488204092,0.024412376568824924,0.09194117603011459,0.18763593373396725,201.770054279731,202,ok
cohort,45-54,2016,downward_mobility_rate,0.12179970446775416,0.022665587550494432,0.07737596918034567,0.16622343975516266,208.21204529103804,284,ok
cohort,45-54,2022,downward_mobility_rate,0.044080489032717746,0.020805571533309225,0.003302318149659887,0.0848586599157756,97.34382987000971,185,ok
cohort,45-54,2010,persistence_probability,0.30255042095585954,0.03233902585720233,0.23916709498063343,0.36593374693108566,201.770054279731,202,ok
cohort,45-54,2016,persistence_probability,0.6186768554574228,0.03366088983227864,0.5527027236985862,0.6846509872162594,208.21204529103804,284,ok
cohort,45-54,2022,persistence_probability,0.5927906009600064,0.04979724734721624,0.4951897896302298,0.690391412289783,97.34382987000971,185,ok
cohort,45-54,2010,rank_rank_slope,0.19641199006217452,0.06198056428273715,0.07419274941434646,0.3186312307100026,201.770054279731,202,ok
cohort,45-54,2016,rank_rank_slope,0.318674766800794,0.053540675529237775,0.21328466392818018,0.4240648696734078,208.21204529103804,284,ok
cohort,45-54,2022,rank_rank_slope,0.2512611747764413,0.05967015678013277,0.13353124447119033,0.3689911050816922,97.34382987000971,185,ok
cohort,45-54,2010,upward_mobility_rate,0.5576610241620995,0.03496506940318073,0.4891307474149219,0.6261913009092771,201.770054279731,202,ok
cohort,45-54,2016,upward_mobility_rate,0.2595234400748231,0.030380227880014498,0.19997928758787503,0.31906759256177114,208.21204529103804,284,ok
cohort,45-54,2022,upward_mobility_rate,0.3631289100072759,0.04874184519715921,0.26759664888081724,0.4586611711337345,97.34382987000971,185,ok
cohort,55-64,2010,downward_mobility_rate,0.08855665748464751,0.02818017744845775,0.0333245246077225,0.14378879036157252,101.6397167432305,102,ok
