wave_year,n_total,age_non_na,own_ed_non_na,parent_ed_non_na,own_years_non_na,parent_years_non_na,region_non_na,urban_non_na,gender_non_na
2010,1125,1125,1125,915,1125,915,1125,971,1123
2016,1239,1239,1239,1185,1239,1185,1239,1239,1239
2022,791,791,791,776,791,776,791,791,791
