"file","year","module","var","topic"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","hhid","parent_child"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","soato_hhid","parent_child"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","relationship","parent_child"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta",2021,"m02_migration","emig_remit_use_educ","education"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","edu_highest","education"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","edu_years","education"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","edu_enrolled","education"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","edu_last_grade","education"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","edu_public","education"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","edu_cost_tuition","education"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","edu_cost_uniform","education"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","edu_cost_textbook","education"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","edu_cost_supply","education"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","edu_cost_meal","education"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","edu_cost_equipment","education"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","edu_cost_gift","education"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","edu_cost_other","education"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","edu_cost_total","education"
