"file","module","var"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","language_native"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","language_second"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","language_third"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","marital_status"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","uuid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","m00uuid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","hy"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","iid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","sid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","hhid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","fmid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","date"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","province"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","mahalla"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","icode"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","agreement"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","hhsize"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","gender"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","age"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","relationship"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","language_native"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","language_second"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","language_third"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","marital_status"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","immig"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","immig_country"
