sample_label,survey_year,admin_region,cohort_exposure_group,low_parent_education,n
full_linked,2021,Tashkent region,partial_overlap_1_2,0,42
full_linked,2021,Tashkent region,partial_overlap_1_2,1,25
full_linked,2021,Tashkent region,partial_overlap_3,0,31
full_linked,2021,Tashkent region,partial_overlap_3,1,12
full_linked,2025,Andijan region,full_overlap_4,0,66
full_linked,2025,Andijan region,full_overlap_4,1,49
full_linked,2025,Andijan region,partial_overlap_1_2,0,86
full_linked,2025,Andijan region,partial_overlap_1_2,1,47
full_linked,2025,Andijan region,partial_overlap_3,0,58
full_linked,2025,Andijan region,partial_overlap_3,1,32
full_linked,2025,Bukhara region,full_overlap_4,0,65
full_linked,2025,Bukhara region,full_overlap_4,1,41
full_linked,2025,Bukhara region,partial_overlap_1_2,0,59
full_linked,2025,Bukhara region,partial_overlap_1_2,1,39
full_linked,2025,Bukhara region,partial_overlap_3,0,46
full_linked,2025,Bukhara region,partial_overlap_3,1,41
full_linked,2025,Fergana region,full_overlap_4,0,90
full_linked,2025,Fergana region,full_overlap_4,1,13
full_linked,2025,Fergana region,partial_overlap_1_2,0,108
full_linked,2025,Fergana region,partial_overlap_1_2,1,11
full_linked,2025,Fergana region,partial_overlap_3,0,87
full_linked,2025,Fergana region,partial_overlap_3,1,9
full_linked,2025,Jizzakh region,full_overlap_4,0,65
full_linked,2025,Jizzakh region,full_overlap_4,1,83
full_linked,2025,Jizzakh region,partial_overlap_1_2,0,44
full_linked,2025,Jizzakh region,partial_overlap_1_2,1,83
full_linked,2025,Jizzakh region,partial_overlap_3,0,32
full_linked,2025,Jizzakh region,partial_overlap_3,1,62
full_linked,2025,Kashkadarya region,full_overlap_4,0,96
full_linked,2025,Kashkadarya region,full_overlap_4,1,27
full_linked,2025,Kashkadarya region,partial_overlap_1_2,0,96
full_linked,2025,Kashkadarya region,partial_overlap_1_2,1,26
full_linked,2025,Kashkadarya region,partial_overlap_3,0,62
full_linked,2025,Kashkadarya region,partial_overlap_3,1,26
full_linked,2025,Khorezm region,full_overlap_4,0,80
full_linked,2025,Khorezm region,full_overlap_4,1,61
full_linked,2025,Khorezm region,partial_overlap_1_2,0,75
full_linked,2025,Khorezm region,partial_overlap_1_2,1,42
full_linked,2025,Khorezm region,partial_overlap_3,0,65
full_linked,2025,Khorezm region,partial_overlap_3,1,41
full_linked,2025,Namangan region,full_overlap_4,0,66
full_linked,2025,Namangan region,full_overlap_4,1,44
full_linked,2025,Namangan region,partial_overlap_1_2,0,55
full_linked,2025,Namangan region,partial_overlap_1_2,1,47
full_linked,2025,Namangan region,partial_overlap_3,0,47
full_linked,2025,Namangan region,partial_overlap_3,1,33
full_linked,2025,Navoi region,full_overlap_4,0,55
full_linked,2025,Navoi region,full_overlap_4,1,32
full_linked,2025,Navoi region,partial_overlap_1_2,0,60
full_linked,2025,Navoi region,partial_overlap_1_2,1,28
full_linked,2025,Navoi region,partial_overlap_3,0,47
full_linked,2025,Navoi region,partial_overlap_3,1,24
full_linked,2025,Republic of Karakalpakstan,full_overlap_4,0,120
full_linked,2025,Republic of Karakalpakstan,full_overlap_4,1,30
full_linked,2025,Republic of Karakalpakstan,partial_overlap_1_2,0,118
full_linked,2025,Republic of Karakalpakstan,partial_overlap_1_2,1,17
full_linked,2025,Republic of Karakalpakstan,partial_overlap_3,0,93
full_linked,2025,Republic of Karakalpakstan,partial_overlap_3,1,24
full_linked,2025,Samarkand region,full_overlap_4,0,65
full_linked,2025,Samarkand region,full_overlap_4,1,94
full_linked,2025,Samarkand region,partial_overlap_1_2,0,64
full_linked,2025,Samarkand region,partial_overlap_1_2,1,72
full_linked,2025,Samarkand region,partial_overlap_3,0,41
full_linked,2025,Samarkand region,partial_overlap_3,1,50
full_linked,2025,Surkhandarya region,full_overlap_4,0,89
full_linked,2025,Surkhandarya region,full_overlap_4,1,46
full_linked,2025,Surkhandarya region,partial_overlap_1_2,0,79
