year,edu_highest,edu_years,edu_enrolled,edu_grade,edu_complete
2021,TRUE,TRUE,TRUE,FALSE,FALSE
2022,TRUE,TRUE,TRUE,FALSE,FALSE
2023,TRUE,TRUE,TRUE,FALSE,FALSE
2024,TRUE,TRUE,TRUE,FALSE,TRUE
2025,TRUE,TRUE,TRUE,TRUE,TRUE
